id,listingIsTopRated,sellerFeedbackScore,sellerPositivePercent,sellerIsTopRated,price,endAtWeekend,endAtEvening,length,isBroken,isUsed,isSet,freeShipping,isSold
155241304769,0,644,100.0,0,38.64,1,0,7,0,0,1,0,1
285024654485,0,3487,97.6,0,3.57,0,1,7,0,1,0,0,1
234758622811,0,2978,100.0,0,34.44,1,0,7,0,0,1,0,1
325412978422,0,1435,100.0,1,55.44,1,0,7,0,1,1,0,1
225230097747,0,400,100.0,1,37.8,0,1,7,0,1,1,0,1
115585880127,0,254,100.0,1,180.6,1,0,7,0,1,1,0,1
265975866225,0,914,100.0,1,12.809999999999999,1,0,5,0,0,0,0,0
325410556365,0,10341,99.4,0,84.84,0,0,5,0,1,0,0,1
325404891970,0,411,100.0,0,1.68,1,0,7,0,1,0,0,1
385202953897,0,4,100.0,0,25.115999999999996,0,1,6,0,1,0,0,0
175470483306,0,148,100.0,0,0.8316,1,0,7,0,0,0,0,0
354373378758,0,8328,99.3,1,8.3916,0,1,5,0,0,0,0,1
364033023112,0,4491,99.4,0,58.791599999999995,1,0,7,0,0,1,0,0
304686489654,0,7579,99.3,1,16.38,0,1,7,0,1,1,0,1
134307130488,0,6,100.0,0,8.4,1,0,6,0,0,0,0,0
334610574032,0,487,100.0,0,0.8316,1,0,7,0,0,0,0,0
314216357273,0,2719,99.5,1,15.035999999999998,1,0,7,0,1,1,0,0
204140489153,0,148,100.0,0,4.1916,1,1,7,0,1,0,0,0
314217260202,0,13826,98.9,1,34.44,1,0,7,0,1,1,0,1
234766306279,0,430,100.0,0,128.1,1,0,7,0,1,1,1,1
285023685088,0,379,100.0,0,2.52,0,1,7,0,0,0,0,1
403977080996,0,3,100.0,0,16.8,1,0,6,0,1,1,0,1
403970253632,0,1,100.0,0,0.8316,0,1,6,0,0,0,0,1
204144054226,0,772,99.7,0,2.2344000000000004,1,0,7,0,1,0,0,1
275521041164,0,118,100.0,0,22.68,1,0,7,0,1,1,0,0
334613378370,0,899,100.0,1,42.839999999999996,0,1,7,0,0,1,0,1
285026280331,0,6,100.0,0,0.8316,1,0,6,0,1,0,0,0
185645322444,0,3854,99.6,1,13.02,1,0,7,0,1,1,1,1
265967512832,0,314,100.0,1,29.3916,0,1,7,0,1,1,0,1
185642525053,0,218,100.0,0,419.9916,0,1,5,0,1,0,1,1
275522972927,0,1072,100.0,0,26.04,0,0,7,0,1,0,0,1
155241477910,0,1522,100.0,0,16.8,0,0,5,0,0,0,0,1
204142662599,0,1666,100.0,1,52.08,1,1,7,0,0,1,0,1
385204017586,0,155,99.4,1,17.6316,0,0,7,0,0,1,0,0
385210233750,0,530478,99.5,0,108.78,0,0,5,0,1,1,0,1
295314814287,0,492,100.0,1,5.04,0,0,7,0,1,0,0,0
364035752209,0,30327,99.8,0,22.96,0,1,7,0,0,0,0,1
195445018906,0,3510,100.0,1,11.76,0,0,10,0,1,0,0,1
255809460549,0,2058,100.0,1,20.9916,1,1,7,0,1,1,0,0
225230164981,0,94,95.7,0,53.76,0,1,7,0,0,0,0,1
374340262091,0,17,100.0,0,2.52,1,0,6,0,0,0,0,0
285024740367,0,1057,100.0,0,8.3916,0,1,7,0,1,0,0,1
285024759678,0,1057,100.0,0,8.3916,0,1,7,0,1,0,0,0
115580361886,0,1362,99.8,1,37.7916,0,1,7,0,1,0,0,1
175470479468,0,148,100.0,0,0.8316,1,0,7,0,1,0,0,0
155236657127,0,937,100.0,0,5.04,0,0,7,0,0,0,0,0
314217260079,0,13826,98.9,1,71.39999999999999,1,0,7,0,1,1,0,1
285024537661,0,3151,100.0,1,8.3916,1,0,10,0,1,0,0,0
185642235944,0,257,100.0,1,0.8316,0,0,7,0,1,0,0,0
304682224054,0,7299,99.4,1,23.52,1,0,7,0,0,1,0,0
394316731060,0,7490,99.0,1,8.3916,0,0,7,0,0,0,0,0
334617872768,0,904,100.0,1,10.08,1,0,7,0,1,0,0,1
204136882828,0,969,98.6,1,16.7916,1,0,7,0,0,0,1,0
314214528969,0,356,100.0,1,21.0,0,1,7,0,1,1,0,0
255805931416,0,217,100.0,1,31.919999999999998,1,0,5,0,0,0,1,0
165757038130,0,4887,100.0,0,33.5916,0,0,7,0,0,0,0,0
255812619016,0,302,100.0,0,42.839999999999996,1,0,7,0,0,1,0,1
195454931034,0,239,100.0,0,7.9799999999999995,1,0,7,0,1,0,0,0
285021016175,0,1174,100.0,0,5.32,1,0,10,0,1,0,0,1
285028768530,0,97,100.0,0,168.0,1,0,7,0,0,1,0,0
255809523792,0,4777,100.0,0,16.7916,1,1,7,0,1,0,0,0
285023356242,0,2535,100.0,1,33.558,0,0,7,0,1,0,0,0
144794689469,0,155,100.0,0,21.0,1,0,10,0,0,0,0,0
314212205547,0,41,100.0,0,29.4,0,0,7,0,0,1,0,0
394320162491,0,33,100.0,0,42.0,1,0,7,0,1,0,0,0
155236650289,0,275,100.0,0,10.726799999999999,0,0,7,0,0,0,1,0
374329021662,0,1589,99.0,0,16.7916,1,0,7,0,0,0,0,0
165763205222,1,450,100.0,1,13.44,1,0,5,0,0,0,0,0
