id,listingIsTopRated,sellerFeedbackScore,sellerPositivePercent,sellerIsTopRated,price,endAtWeekend,endAtEvening,length,isBroken,isUsed,isSet,freeShipping,isSold
155231441853,0,4,100.0,0,80.0,1,1,6,0,0,0,0,1
374332149207,0,427,100.0,0,8.5,1,1,5,0,1,1,0,1
204134034335,0,8880,100.0,0,10.02,1,1,10,0,1,0,0,1
374332118703,0,427,100.0,0,46.0,1,1,5,0,1,0,0,1
225230024645,1,1574,100.0,1,12.5,1,1,7,0,1,1,0,1
234759881946,0,120,100.0,0,16.3,0,0,7,0,1,1,0,1
325408425012,0,96,100.0,0,5.99,0,1,5,0,0,0,0,1
204134517726,0,88575,99.6,0,11.5,1,1,7,0,1,0,0,1
334616826196,0,563,97.2,0,1.75,1,1,7,0,1,0,0,1
275521904311,0,343,100.0,0,2.4,0,1,7,0,0,0,0,1
234768667566,0,1974,100.0,0,10.0,1,0,7,0,1,0,0,1
295315234205,0,3263,99.7,0,10.5,0,1,7,0,1,0,0,1
155236339771,0,2071,99.5,0,6.5,0,1,7,0,0,0,0,1
265963314349,0,719,100.0,0,31.0,1,1,7,0,0,0,0,1
204140142804,0,650,100.0,0,10.25,0,1,7,0,1,0,0,1
165760998724,1,4465,99.8,1,111.0,1,1,7,0,0,1,0,1
364039151308,0,580,100.0,0,18.0,1,1,7,0,1,1,0,1
394316868785,0,57,100.0,0,24.11,0,1,7,0,0,1,0,1
134302758545,0,209,100.0,0,11.35,1,1,10,0,0,0,0,1
204136738588,0,398,100.0,0,0.99,0,1,10,0,1,0,0,1
304688342337,0,182,100.0,0,17.0,1,0,7,0,0,1,0,1
234759977647,0,1324,100.0,0,4.2,0,1,7,0,1,0,0,1
275521500418,1,1557,100.0,1,27.75,0,0,7,0,0,1,0,1
285024112741,0,29,100.0,0,7.5,1,0,10,0,0,0,0,1
175471751707,0,245,100.0,0,28.0,0,1,7,0,0,0,0,1
403969224806,1,31283,99.9,1,14.5,1,1,10,0,1,0,0,1
285024152951,0,29,100.0,0,7.74,1,0,9,0,0,0,0,1
285024136858,0,29,100.0,0,16.01,1,0,10,0,0,0,0,1
325412893749,0,329,100.0,0,18.25,1,1,7,0,1,1,0,1
394316575437,0,13,100.0,0,12.5,0,0,6,0,0,0,0,1
155236011038,0,519,100.0,0,2.2,0,0,7,0,0,0,0,1
155242510249,0,151,100.0,0,21.5,1,0,7,0,1,1,0,1
285027962115,0,1733,100.0,0,132.0,1,1,7,0,1,1,0,1
115586080784,0,65,100.0,0,0.99,1,1,7,0,0,0,0,1
175471749966,0,245,100.0,0,41.0,0,1,7,0,0,0,0,1
185647427155,0,720,100.0,0,9.5,1,0,7,0,1,0,0,1
225230608650,1,97836,99.7,1,7.5,1,1,10,0,1,0,0,1
314216321707,0,850,99.8,0,3.2,1,0,7,0,0,0,0,1
115593415524,0,650,100.0,0,11.5,1,0,7,0,0,0,0,1
125588877027,0,10289,100.0,0,41.0,0,0,7,0,1,0,0,1
234768608679,0,74,100.0,0,1.25,1,0,7,0,0,0,0,1
175474089292,0,6,0.0,0,16.0,0,0,6,0,0,1,0,1
364033128126,0,24,100.0,0,11.5,1,1,7,0,0,0,0,1
195456202966,0,0,0.0,0,20.0,1,0,7,0,0,0,0,1
385212317971,0,1447,98.8,0,11.5,1,1,7,0,1,1,0,1
385208527847,1,469801,99.0,1,16.0,0,1,7,0,1,0,0,1
175471502076,0,64,100.0,0,19.0,0,0,7,0,1,0,0,1
165760749815,0,766,100.0,0,10.0,1,0,7,0,1,1,0,1
175471857598,1,89886,100.0,1,12.5,0,1,7,0,1,0,0,1
394315297548,1,469435,99.0,1,10.5,0,1,7,0,0,0,0,1
314218982439,0,32,100.0,0,10.0,1,0,7,0,1,0,0,1
285022865026,0,2887,100.0,0,2.0,0,0,7,0,0,0,0,1
144797884846,0,538,99.3,0,10.0,1,0,7,0,1,0,0,1
394322213059,0,102,100.0,0,5.5,1,0,7,0,1,0,0,1
155234442942,0,5955,98.4,0,21.0,0,1,7,0,1,0,0,1
134303971100,0,12879,99.7,0,49.99,1,1,7,0,0,0,0,1
175471752209,0,245,100.0,0,26.0,0,1,7,0,0,0,0,1
185637958187,0,816,100.0,0,9.5,1,1,7,0,1,0,0,1
354364633298,0,5871,100.0,0,1.2,1,1,7,0,1,0,0,1
155234607616,0,578,100.0,0,122.0,0,1,7,0,1,1,0,1
175477467636,1,90363,100.0,1,9.99,1,1,7,0,1,0,0,1
204143880711,0,813,100.0,0,6.0,1,0,7,0,0,0,0,1
175471861660,1,89886,100.0,1,18.0,0,1,7,0,1,0,0,1
385204300902,1,469079,99.0,1,9.99,0,1,7,0,1,1,0,1
165756396415,0,620,100.0,0,9.0,0,0,7,0,1,0,0,1
364040169057,0,198,100.0,0,0.99,1,1,7,0,1,0,0,1
165760547978,0,766,100.0,0,10.85,1,0,7,0,0,0,0,1
134310999248,0,200,100.0,0,3.5,0,0,7,0,1,0,0,1
144794147453,0,3122,100.0,0,16.04,0,0,7,0,0,0,0,1
334612910607,0,602,100.0,0,9.49,1,0,7,0,1,0,0,1
165763769380,0,467,100.0,0,32.0,1,0,7,0,0,0,0,1
134308100875,0,365,100.0,0,0.99,0,0,7,0,0,1,0,1
325413665327,0,256,97.8,0,17.0,1,0,7,0,0,1,0,1
175471476526,0,953,100.0,0,27.9,0,0,7,0,0,0,0,1
285021372251,0,12011,99.9,0,7.0,0,1,7,0,1,0,0,1
275528419951,0,308,100.0,0,40.0,1,0,7,0,1,0,0,1
195452093138,0,284,100.0,0,130.0,1,1,7,0,1,1,0,1
195450918525,0,181,100.0,0,5.0,0,1,7,0,0,0,0,1
334614361662,0,204,100.0,0,13.0,0,1,5,0,0,0,0,1
265959620593,0,6252,99.6,0,0.99,0,0,10,0,0,0,0,1
155242714710,0,2681,98.2,0,4.2,1,0,7,0,1,0,0,1
225233931301,0,2420,100.0,0,15.0,0,0,5,0,1,1,0,1
115586742680,0,65,100.0,0,4.8,0,0,10,0,1,0,0,1
325408621544,0,825,98.6,0,2.5,1,1,10,0,0,0,0,1
165755164324,0,7970,97.7,0,0.99,0,1,7,0,1,0,0,1
195450920445,0,181,100.0,0,5.0,0,1,7,0,0,0,0,1
185647462223,0,720,100.0,0,1.2,1,0,7,0,0,0,0,1
115594579828,0,1098,100.0,0,5.0,1,0,7,0,1,0,1,1
285021658421,1,449,100.0,1,5.5,0,1,7,0,1,0,0,1
314212559997,0,1573,98.9,0,19.99,0,0,7,0,1,1,0,1
185639085558,0,783,99.0,0,21.5,0,1,10,0,1,0,0,1
204143508084,0,98,100.0,0,7.5,1,1,7,0,0,0,0,1
255812116836,0,5768,100.0,0,23.0,1,0,7,0,0,0,0,1
165760086987,0,1295,100.0,0,2.2,0,0,10,0,0,0,0,1
234768507966,0,407,98.2,0,9.99,1,0,7,0,1,0,0,1
325406878736,0,480,100.0,0,10.0,0,0,7,0,1,0,0,1
185640825183,0,203,100.0,0,3.99,1,1,10,0,1,0,0,1
165763465215,0,162,100.0,0,25.0,1,0,7,0,1,0,0,1
195450631218,0,21,100.0,0,12.99,1,0,9,0,0,1,0,1
165760607371,0,766,100.0,0,13.5,1,0,7,0,0,0,0,1
195450918994,0,181,100.0,0,5.0,0,1,7,0,0,0,0,1
304689725464,0,596,100.0,0,4.21,1,0,7,0,1,0,1,1
195450917460,0,181,100.0,0,3.0,0,1,7,0,1,0,0,1
275529711255,0,105,100.0,0,14.99,1,0,7,0,1,0,0,1
385212317970,0,1447,98.8,0,23.5,1,1,7,0,1,1,0,1
225226623189,0,1657,98.7,0,17.99,0,0,10,0,1,0,0,1
285027968826,0,289,100.0,0,2.2,1,1,7,0,0,1,0,1
354377715091,0,206,99.2,0,130.5,1,0,7,0,1,0,0,1
325410122275,0,96,100.0,0,3.99,0,1,5,0,1,0,0,1
255809165288,0,1233,100.0,0,10.0,0,1,7,0,0,0,0,1
185640824059,0,203,100.0,0,4.99,1,1,10,0,0,0,0,1
255808612532,0,161,100.0,0,9.99,0,0,7,0,0,0,0,1
225236414144,0,512,100.0,0,9.99,0,0,10,0,1,0,0,1
275525701925,0,590,100.0,0,350.0,0,0,7,0,1,0,1,1
265974036492,0,636,100.0,0,7.5,1,0,7,0,1,0,0,1
334616843330,0,563,97.2,0,2.2,1,1,7,0,1,0,0,1
195452117339,0,671,93.3,0,6.0,1,0,7,0,0,0,0,1
125597930180,0,89,100.0,0,0.99,1,1,7,0,0,0,0,1
225238496789,0,880,100.0,0,4.99,1,1,7,0,0,0,0,1
144791630359,0,7,83.3,0,15.0,0,0,6,0,0,0,0,1
155237298584,0,296,99.1,0,27.5,1,0,10,0,1,0,0,1
185647439746,0,872,100.0,0,6.5,1,0,7,0,0,1,0,1
195443183111,0,0,0.0,0,10.0,1,1,7,0,0,0,0,1
185647461613,0,872,100.0,0,2.49,1,0,7,0,0,1,0,1
255810354490,0,456,98.7,0,10.0,1,0,7,0,1,0,0,1
155242703524,0,5380,100.0,0,0.99,1,0,7,0,0,0,0,1
265974573645,0,735,100.0,0,8.99,1,1,7,0,0,0,0,1
155230189882,0,29054,99.8,0,14.5,0,1,7,0,0,0,0,1
304686305506,1,6863,100.0,1,10.5,0,1,7,0,0,0,0,1
285028610576,0,690,100.0,0,4.99,1,0,7,0,1,0,0,1
175470424166,0,2543,100.0,0,1.99,0,0,10,0,0,0,1,1
204142662599,0,1666,100.0,0,52.08,1,0,7,0,0,1,0,1
255813893952,0,1147,100.0,0,7.0,1,0,7,0,0,0,0,1
403973029656,0,191,100.0,0,20.0,0,0,7,0,1,0,0,1
125591933676,0,957,100.0,0,4.5,0,0,7,0,1,0,0,1
225234074929,0,1943,100.0,0,2.99,0,1,5,0,1,0,0,1
144798480196,0,2054,100.0,0,4.99,1,0,7,0,0,0,0,1
275529614117,0,170,100.0,0,50.0,1,0,7,0,1,0,0,1
334617904856,0,815,98.7,0,10.0,1,1,7,0,0,0,0,1
255810157050,0,935,100.0,0,3.3,1,0,7,0,1,0,0,1
334616878745,0,668,99.2,0,6.99,1,1,7,0,1,0,0,1
204141447721,0,490,100.0,0,42.92,0,1,7,0,1,0,0,1
185639083891,0,783,99.0,0,16.49,0,1,10,0,1,0,0,1
175472943383,0,681,100.0,0,26.0,0,0,7,0,0,1,0,1
185647458159,0,720,100.0,0,4.2,1,0,7,0,1,0,0,1
175474514469,0,9387,100.0,0,18.01,1,1,7,0,1,0,0,1
255814015569,0,141,100.0,0,30.0,1,1,7,0,0,0,0,1
255813528490,0,672,100.0,0,12.5,1,1,7,0,1,1,0,1
185647841474,0,720,100.0,0,6.5,1,1,7,0,0,0,0,1
185647844484,0,720,100.0,0,4.0,1,1,7,0,0,0,0,1
155242910097,0,453,99.5,0,6.09,1,1,7,0,0,1,0,1
