id,listingIsTopRated,sellerFeedbackScore,sellerPositivePercent,sellerIsTopRated,price,endAtWeekend,endAtEvening,length,isBroken,isUsed,isLarge,freeShipping,isSold
394315382477,0,7481,99.0,1,10.08,0,0,7,0,1,0,0,1
125590964279,0,819,100.0,1,13.02,1,0,10,0,1,0,0,1
394316778590,0,7491,99.0,1,13.02,0,0,7,0,1,0,0,1
334610113969,0,1080,100.0,0,25.2,0,1,7,0,1,0,1,1
385206939845,0,283,100.0,1,72.24,0,1,7,0,1,0,0,1
155242501191,0,1748,100.0,0,79.79159999999997,1,0,7,0,1,0,0,1
285023545498,0,627,100.0,1,5.0316,0,1,5,0,1,0,0,1
334616691971,0,894,98.1,1,38.64,1,0,7,0,1,0,0,1
334613416038,1,11654,99.9,1,31.92,0,1,5,1,0,0,0,1
155234664117,0,4880,99.3,0,10.5,0,0,7,0,1,0,0,1
354376942480,0,2016,100.0,0,335.16,1,0,7,0,1,0,0,1
155233021935,0,542,100.0,0,4.2,0,0,7,0,1,0,0,1
134311615935,0,1319,99.8,1,34.44,0,0,5,0,1,0,0,1
275520819459,0,104,100.0,0,5.1744,1,0,7,0,1,0,0,1
115593477929,0,214,100.0,0,403.2,1,0,7,0,1,0,0,1
334613339435,0,0,0.0,0,0.8316,0,0,7,0,1,0,0,1
364040058016,0,0,0.0,0,33.6,1,0,7,0,1,0,0,1
234767907198,1,11670,99.9,1,58.8,1,1,7,1,0,0,0,1
285024397910,0,363,100.0,0,10.5,0,0,7,0,1,0,0,1
175474742195,0,3,100.0,0,18.9,0,0,7,0,1,0,0,1
334610614407,0,91,100.0,0,16.8,1,0,7,0,0,0,0,1
265966946198,0,99,100.0,0,103.74,0,0,7,0,1,0,0,1
304682098770,0,294,99.5,0,7.56,1,0,7,1,0,0,0,1
195445008706,0,310,97.6,0,12.6,0,1,5,0,1,0,0,1
125594265774,0,17834,99.8,1,26.8884,0,0,5,0,1,0,0,1
374331854532,0,69,100.0,1,68.03999999999999,0,0,7,0,0,0,0,1
115594244326,0,88855,99.1,1,2.52,1,1,5,0,0,0,1,1
334603138817,0,856,100.0,0,47.04,0,1,10,0,1,0,0,1
115590025820,0,429,100.0,0,69.3,0,1,7,0,1,0,0,1
175477650938,0,46365,100.0,0,8.3916,0,1,5,0,0,0,0,1
334614293020,1,332014,99.7,1,9.66,0,0,5,0,0,0,1,1
385214762076,0,6032,99.0,1,16.38,1,0,7,0,1,0,0,1
165757101285,0,1386,98.5,1,24.36,0,0,7,0,1,0,0,1
115588827152,0,3188,98.4,0,41.9916,1,0,7,0,1,0,0,1
285023349061,0,801,99.0,1,3.0996,0,0,7,0,1,0,0,1
314210173002,0,1052,100.0,1,13.44,1,0,7,0,0,0,0,1
115579582607,0,5792,99.8,1,8.3916,0,1,7,0,1,0,0,1
334616762459,0,792,99.5,0,51.24,0,0,5,0,1,0,0,1
364040564782,0,30424,99.8,0,25.200000000000006,1,0,7,1,0,0,0,1
