id,listingIsTopRated,sellerFeedbackScore,sellerPositivePercent,sellerIsTopRated,price,endAtWeekend,endAtEvening,length,isBroken,isUsed,isLarge,freeShipping,isSold
204143979657,0,1473,100.0,0,8.5,1,0,7,0,0,0,0,1
225229693627,0,255,100.0,0,5.0,1,1,7,0,1,0,0,0
325413562414,0,1465,100.0,0,2.39,1,0,7,0,0,0,0,1
265963174354,0,1466,100.0,0,10.0,1,1,7,0,1,1,0,1
325404594797,0,920,100.0,0,13.99,1,1,7,0,0,0,0,0
204136797199,0,2993,100.0,0,4.98,1,1,7,0,1,0,0,0
185638233876,0,232,100.0,0,3.2,1,1,7,0,1,0,0,1
204142979084,0,1509,100.0,0,3.0,1,0,7,0,0,0,0,1
295308641162,0,1380,100.0,0,7.5,0,0,7,0,1,0,0,1
325404802229,0,809,100.0,0,6.0,1,1,7,0,0,0,0,0
354373142173,0,3963,100.0,0,0.99,1,1,3,0,1,0,0,0
385205453410,0,29,100.0,0,1.95,0,0,7,0,0,0,0,1
354364346219,0,6602,100.0,0,6.55,1,1,7,0,1,0,1,1
125587850341,0,1729,100.0,0,1.0,1,1,7,0,1,0,0,1
275528385488,1,3362,100.0,1,23.0,0,0,3,0,0,0,0,1
195446397463,0,2687,100.0,0,10.5,0,0,7,0,1,0,0,1
175476984300,0,858,100.0,0,3.0,1,0,7,0,1,0,0,1
185639207654,0,44,96.2,0,2.99,0,0,7,0,0,0,0,0
403978002985,0,293,100.0,0,32.98,1,0,7,0,1,0,0,1
195446860102,0,2811,99.6,0,9.0,1,1,5,0,0,0,0,0
385212052842,0,195,98.6,0,4.99,0,0,5,0,0,0,0,1
394313232304,0,0,0.0,0,3.2,0,1,6,0,1,1,0,1
115586804836,0,486,100.0,0,8.0,0,0,7,0,1,0,0,1
125597791014,0,73,100.0,0,5.0,0,0,5,0,0,0,0,1
165757052182,0,1700,100.0,0,6.0,0,1,7,0,0,0,0,0
195456082351,0,2814,99.6,0,9.0,1,0,5,0,0,0,0,1
334611802432,0,625,98.3,0,3.0,0,1,7,0,1,0,0,1
204134041095,0,8880,100.0,0,12.5,1,1,10,0,1,0,0,1
134307899399,0,2766,99.7,0,8.5,0,0,7,0,1,1,0,1
155231620892,0,1415,100.0,0,14.95,1,1,7,0,1,0,0,1
144792903366,0,1040,100.0,0,23.0,0,0,7,0,1,0,0,1
185607768025,1,13433,99.9,1,26.0,0,1,3,0,0,0,0,1
165761924216,1,2063,99.5,1,4.5,1,0,7,0,1,0,0,0
275529715896,0,2001,100.0,0,6.5,1,1,7,0,1,0,0,1
285028735937,0,403,100.0,0,26.0,1,0,7,0,0,0,0,0
295318985818,0,326,93.8,0,11.5,1,0,7,0,1,0,0,1
134307344814,0,33,100.0,0,20.0,1,1,7,0,0,0,0,1
175471739408,0,3,0.0,0,32.13,0,1,7,0,0,0,0,1
354367431581,0,204,100.0,0,112.0,0,0,7,0,1,0,0,1
325408290423,0,310,99.3,0,5.5,0,0,7,1,0,0,0,1
175470614522,0,709,100.0,0,6.5,1,1,7,0,0,0,0,1
